description,statusesCount,followersCount,favoritesCount,friendsCount,name,type,screenName,location,lang
"A culture of curiosity leads to inspired brands and an intelligent world.  We share solutions, industry innovations and information about our brands.",3685,140566,2402,6399,Avery Dennison,,AveryDennison,Global,en
"Spotlighting brilliant startups at http://t.co/usSy6qqCOw, @Thubten = Publisher",1168,139597,310,97994,Startup Chronicle,,StartupChron,Global,en
"Award-winning FULL #Digital #Advertising specialist B2B ALL devices. Top 50 GEW 2013, Top 1% social, digital, global. #Brands #Ads #Music #Ecommerce + #infoguru",104291,138291,28919,8812,Mr Branson,,InfoGuruShop,Global,en
"A forum for fresh thinking and conversation about clean technology, sustainable infrastructure and digital efficiency.",17757,138028,136,36955,ecomagination,,ecomagination,Global,en
The Rockefeller Foundation's mission—unchanged since 1913—is to promote the well-being of humanity throughout the world.,17673,135717,3127,2612,Rockefeller Fdn,,RockefellerFdn,Global,en
"We're a global, science-led biopharmaceutical company & our innovative medicines are used by millions of patients worldwide. We believe in what science can do.",4268,129892,1106,964,AstraZeneca,,AstraZeneca,Global,en
Official ULI Twitter Handle. Providing leadership in the responsible use of land and in creating and sustaining thriving communities worldwide.,13714,125923,393,423,Urban Land Institute,KEEP,UrbanLandInst,Global,en
A @Cision company. The premier global provider of multimedia platforms & distribution. #Media #PR #Comms #Mktg #SocialMedia,26727,113868,1750,30437,PR Newswire,,PRNewswire,Global,en
"We're a charitable foundation that exists to improve health for everyone. We support thousands of scientists & researchers, spark debate & take on big problems.",19969,110597,11298,1852,Wellcome Trust,,wellcometrust,Global,en
"The business and economics research arm of McKinsey & Company, covering topics such as economic growth, capital markets, technology trends, and urbanization.",10758,107382,1645,2578,McKinsey Global Inst,,McKinsey_MGI,Global,en
"Perspectives on industry trends, updates on new products and services, and insight into our vision and ideas. For updates from the newsroom, follow @AP.",3499,103099,3,37,The Associated Press,,AssociatedPress,Global,en
"1 of America's most listened to voices in philanthropy; champion for inspiring generosity. @Forbes Contributor, Author, CEO, Global Center for Generosity",64608,298939,36022,287692,Michael Chatman,,michaelchatman,Global Generosity Expert,en
World Summit for Sense-of-Place #SoPlace Korea + Malaysia #SoPlaceWorld #SoPlaceSummit,2306,233874,1211,90409,SoPlace,,soplacers,Glocal,en
"ALL Tweets are 100% my own individual opinions - they represent NO other body, entity or persons, living or dead. If it's in the news you'll get a comment here.",11426,211335,105,106365,GeoVision,,Visiongeo,Glorious Bonnie Scotland,en
"Author, Teacher, Radio Presenter, Sports Journalist & Comedian. #radio #conspiracy #paranormal #sport #classicrock #comedy #vegan #greenparty #socialism",7616,174919,1947,42308,Mike Watkins,,Spichael1964,"Gloucester, UK",en
"#TEAMBILLIONAIRE HAS THE LARGEST PENNY STOCK NETWORK ON EARTH!
ON 8/9/2017 ,I WILL BE ANNOUNCING THE ""MEGA GODZILLA ALERT"" 
SIGN UP!!: godzillaprofits@gmail.com",34170,3037340,23648,162826,BIG MONEY MIKE,celeb,BIGMONEYMIKE6,godzillaprofits@gmail.com,en
"We are the UK's largest woodland conservation charity. We'll try and reply to questions between 9am and 5pm, Monday to Friday. #StandUpForTrees <ed><U+00A0><U+00BC><ed><U+00BC><U+00B3><ed><U+00A0><U+00BC><ed><U+00BC><U+00B1><ed><U+00A0><U+00BC><ed><U+00BC><U+00B3><ed><U+00A0><U+00BC><ed><U+00BD><U+0083><ed><U+00A0><U+00BE><ed><U+00B6><U+0089><ed><U+00A0><U+00BC><ed><U+00BD><U+0084><ed><U+00A0><U+00BE><ed><U+00B6><U+0094><ed><U+00A0><U+00BC><ed><U+00BD><U+0083><ed><U+00A0><U+00BC><ed><U+00BC><U+00B3><ed><U+00A0><U+00BC><ed><U+00BC><U+00B1><ed><U+00A0><U+00BC><ed><U+00BC><U+00B3>",34942,145154,41605,519,The Woodland Trust,,WoodlandTrust,"Grantham, Lincolnshire, UK",en
"Welcome to the official account of National Rail Enquiries, providing real-time travel updates and advice. We are here to answer any questions you have 24/7.",434294,1008275,929,268,National Rail,bis,nationalrailenq,Great Britain,en-gb
Official Feed hosted by makers Love Productions. #GBBO. #GBBOCreme. #ExtraSlice. #JuniorBakeOff. Tweets may appear on air. https://t.co/DmsTz80c2A,15759,554586,3715,1127,British Bake Off,bis,BritishBakeOff,Great Britain,en
"All the latest behind-the-scenes news, offers and competitions from Great British Racing.",12402,101115,1015,1036,Great British Racing,,GBRacing,Great Britain ,en
Greater Manchester Police's feed is monitored Mon-Fri but is not for reporting crimes. Emergency: call 999. Non-Emergency: call 101.,45358,545908,1965,598,G M Police,gov,gmpolice,Greater Manchester,en
"Proud of Greater Manchester. 95.1FM, Digital, Freeview 719. News, @BBCRMsport, traffic, weather. All things Greater Manchester. RTs are not an endorsement.",79935,122231,7901,1963,BBC Radio Manchester,,BBCRadioManc,Greater Manchester / Cheshire,en
Recovering Promotional Product safety advocate and enthusiast. Blog author @PromoCorner. Brand Guy. Consultant. Guardian ad Litem. Traveler. Cigar smoker.,98244,102241,32,50346,Jeff Jacobs,,JeffreyPJacobs,"Greenville, SC, USA",en
"•DOCTORenDERECHO•NOTARIO •Columnista •Presidente en : @CONFIOenMEXICO APN *ConcienciaCívicaJalisciense,AC @JALISCOenPLENO",211120,132778,8275,146292,Salvador Cosío Gaona,foreign,salvadorcosio1,"Guadalajara,Jalisco,Mexico",es
"Internet marketing consultants and a social media geek. Traveler, Foodie, Love To Play Online Game.",11176,186571,350,119644,Pankaj Kumar Das,,pankajdasseo,"Gurgaon, Haryana, ( India )",en
MP for Hackney North and Stoke Newington. Shadow Home Secretary. Retweeting does not mean agreement.,32145,175835,6824,735,Diane Abbott,,HackneyAbbott,"Hackney, London",en
The BBC's technology correspondent. This is my personal profile - if you don't like the dog etc go to @BBCRoryCJ <U+2665><U+FE0F> not= <U+2605>,51906,170405,4189,4940,Rory Cellan-Jones,,ruskin147,"Hammersmith, Greater London (5",en
"Property addict. Loves family, friends, fitness & fresh air.",5587,171024,16,404,Phil Spencer,,PipofftheTV,"Hampshire, UK",en
"#BGT 2015. Singer-Songwriter, DJ, Presenter, TV Critic, Charity Patron @staceyssmiles PR: @gotprofficial @luckysevenpr Music: @deevurecords",11108,190877,7557,10029,Paul Manners,,paulm_official,"Harrow, London",en-gb
Founder & Chairman Of http://t.co/UEQRk3oxcU A Free UptoDate Copyleft Medical Textbook | RT <U+2260> endorse | Disclaimer here: http://t.co/GcAgl71R5E,39936,314142,9205,263409,C. Michael Gibson MD,,CMichaelGibson,Harvard Professor & MD,en
Cool Dads Be Like #CoffeeCrew <U+2615><U+FE0F><U+2615><U+FE0F><U+2615><U+FE0F><U+2615><U+FE0F>Musically: 1.64M <U+27B0> Vine: 945K <U+27B0> INSTA: 113K Add me on Snapchat: jasoncoffee,22459,212810,29101,155799,Jason Coffee,foreign,JasonCoffee,"Hawaii, USA",en
Labour MP for Hayes and Harlington and Shadow Chancellor. Join the Labour Party here <U+2192> https://t.co/vbWxb5FqMM,7708,127884,111,4559,John McDonnell MP,,johnmcdonnellMP,Hayes and Harlington,en
Member @UKHouseofLords ProVC @BoltonUni Prof @YourStMarys Conservative Chairman 2010-12 Foreign Minister 2012-14 Author-The Enemy Within https://t.co/zQARcmGXMA,4807,127897,2364,1140,Sayeeda Warsi,,SayeedaWarsi,Heart is always in Yorkshire,en
"Since 2009, we’ve grown the technological capabilities of 200+ businesses. From startups to enterprises, we design/develop innovative products that users love.",21652,553187,2178,361854,ChopDawg.com,bis,ChopDawgStudios,Hello@ChopDawg.com,en
Carefully chosen airfare deals sourced by experts.  Sign up for our free email airfare alerts with airline preferences you choose https://t.co/q9GP12W38t,62895,652562,6852,66439,airfarewatchdog,bis,airfarewatchdog,Here there and everywhere,en
For all Enquiries contact: gracecox@live.com Instagram - gracieandrews_x,7490,154682,4723,721,Grace Andrews,,GraceAndrews_,Hertfordshire,en
The Official Twitter page for Hertfordshire Constabulary. Please don't report crime on here - call 101 with information or dial 999 in an emergency.,10411,102663,142,568,Herts Police,,HertsPolice,Hertfordshire,en
Fine Artist. U.K.,42283,177176,20347,146737,M J Forster,,Matt_Forster,Hexham Northumberland,en
<U+26F5><ed><U+00A0><U+00BC><ed><U+00BC><U+008A> | #TeamStacks |  #SocialMedia | N.E.R.D. | #Fashion | #FF | #PROMO | #Health | #GEEKED | Private Investor | MCMLXXXIII | #CowboysNation,106368,104844,3356,103520,Izu <U+3072>hiara <U+2625>,,OMGStacks,Hic et ubique terrarum ,en
I went from Ex-con to Indie Film Icon | Starred in HICK w/ Oscar Winner Eddie Redmayne & Chloe Moretz | Trademark: Movie Villains | https://t.co/bNqjRGe7US,5864,452584,75653,440555,Dave Vescio,celeb,DaveVescio,"Hollywood, CA",en
"#nikhalik The Thrillionaire, 5 Day Weekend Lifestyle Strategist, Entrepreneurial Alchemist, Keynote Speaker, Astronaut, Adventurer and Best Selling Author.",6928,287612,359,8817,Nik Halik,foreign,nikhalik,"Hollywood, California",en
"NATIONAL RECORDING ARTIST,COMEDIAN,ACTOR,ASTRONAUT/KELSEY GRAMMER BILL ZUCKER COMEDY HOUR/ GENE SIMMONS FJS/ DOG BOUNTY HUNTER/JENNY McCARTHY LIVES UNDER MY BED",112824,467213,4580,246691,Bill Zucker,celeb,BillZucker,Hollywood/Miami/space,en
Chicago Hack/Local YMCA Hoops Legend/Reality Theorist/Independent/Web Developer/ Flat Earther /Creationist/Third Eye Activated/UCONN ED/FollowsBack,41915,110711,1066,109927,jon gery,foreign,jongery,Hometown~Westbrook CT. America,en
"South China Morning Post provides news and analysis on Hong Kong, China and the rest of Asia.",100586,475509,296,345,SCMP News,news,SCMP_News,Hong Kong,en
Breaking Hong Kong News. Includes Current Weather Reports & Warnings from HKO. Auto-follow back. Created by @Joshlam.,77486,264146,0,3,Hong Kong News,foreign,hongkong_news,Hong Kong,en
"The Nelson Mandela Foundation contributes to a just society by promoting the values, vision and work of our Founder #LivingTheLegacy RTs <U+2260> Endorsements",9786,1454668,1911,25625,NelsonMandela,celeb,NelsonMandela,"Houghton, South Africa",en
"Founder/CEO Of Diamond Cutters International, Author, Inventor, Executive Coach, Motivational Speaker, Grateful https://t.co/nwWLhlNtVp",57639,606733,9014,340643,Fred Cuellar,celeb,FredCuellar,Houston,en
"The premier source for international oil and gas news and technology      

exploration | drilling | production | processing | transportation",15171,174286,1081,748,Oil & Gas Journal,foreign,OGJOnline,Houston,en
News from Shell in the U.S.,2898,173576,348,254,Shell Oil Company,foreign,Shell_US,Houston,en
Christian<U+2B50>Author<U+2B50>Songwriter<U+2B50>Speaker<U+2B50>Entrepreneur<U+2B50>Inventor<U+2B50>Winner Helping Others Win<U+2B50>#Quotes<U+2B50>#Kindle<U+2B50>#GoodReads<U+2B50>#paperbacks<U+2B50>#FF<U+2B50>#Follow<U+2B50>#PayItForward <U+2764> #UROCK,162767,273349,25047,229506,Bille Baty,foreign,BilleBaty,"Houston, Texas",en
Mom of 2. #Houston #Texas #blogger & #TwitterParty host! #Disney #Travel #Food #Entertainment #Tech #Reviews! Email: mariah@thesimpleparent.com #DisneySMMC,112354,165784,449,128802,Mariah Moon,,thesimpleparent,"Houston, Texas",en
"Investigative Reporter & Writer  with Euronews  Network,
        En algún lugar de la Tierra. Aquí, Allá y Donde Sea!",21824,131471,98,22951,Thomas McCormick,foreign,nesrdubp081,http://bit.ly/1echPV6,es
"Presenter on ITV Good Morning Britain & ITV Racing. Patron of MND Association & Ellenor Hospice Charity, Dogs Trust supporter. https://t.co/M04VROujHn",17854,130481,713,1640,Charlotte Hawkins,,CharlotteHawkns,http://www.mcsaatchimerlin.com,en
'Rotund Labourite'. Chair: @HullUniLabour. Founder: @LabourUBI. Youth Officer: LCER. GMB. Once ran for Parliament. Terrible at running.,34826,294728,22032,263146,George Aylett,,GeorgeAylett,Hull,en
"UK Deputy Prime Minister 1997-2007, former Deputy Leader of the Labour Party and Sunday Mirror Columnist",22627,277615,262,890,John Prescott,,johnprescott,Hull,en
"Here at Fifty Squid, we create fast and effective video animation from just £50. Visit our website or call us on 01482 804104 to start your video journey today!",16743,103744,5013,94699,Fifty Squid,,FiftySquidVideo,"Hull, England",en
Hard Rock/Metal band #TheCurrentSea out now https://t.co/9gCphxXuks / #TheUnscene https://t.co/R286GqaTwP / Online Store - https://t.co/dEZdNXuXZh,18680,595155,7698,594779,Haster,bis,HASTERband,"Huntington Beach, CA",en
Digital Marketing - Web Analytics #TechGeek #Photography #BookWarm #StartUps #Predictions #DataScience #IoT #MachineLearning #Movies,32203,222643,13821,235555,Sai Krishna D,,sainaresh81,"Hyderabad, India",en
Author of THE BRAVEST YOU.,60352,292300,2561,291908,Adam Kirk Smith,,asmithblog,Illinois,en
"Business inquiries:gbrilliantq@gmail.com  | Partnered with @BAWLSGuarana | 
 Use Code GbrilliantQ1 for up to 20% off of my sponsors",94163,317274,3806,123673,GbrilliantQ™,,GbrilliantQ,"Illinois, USA",en
Follower of the washing machine free kitchen faith. These are my beliefs and it's my right to practice them without fear of prejudice.,37632,409288,134,1033,Kirstie Mary Allsopp,celeb,KirstieMAllsopp,In my laundry room,en
"Stand up comedian except when on panel shows. Then, sit down comedian.",10426,411860,475,1089,Ed Byrne,celeb,MrEdByrne,In my skin,en
"Sjarmtrøll, troubadour, SUP enthusiast.",2298,3274855,12,761,Bill Bailey,celeb,BillBailey,In transit,en
"Multitalented Multimedia Personality/Host/Entrepreneur, Survivor, God Fearing Friend. For booking/inquiries: info@ebonysteele.com",14166,145213,1462,24079,Ebony Steele,,EbonySteele,In your heart,en
"'Are you crazy? The fall will probably kill you.' instagram: @radioleary .Not the best at DMs, far better to shout from a window, or send carrier pigeon.",14949,2934890,118,4423,Dermot O'Leary,celeb,radioleary,In your telly.,en
Prime Minister of India,16032,32305894,0,1780,Narendra Modi,celeb,narendramodi,India,en
Breaking news alerts from India,368997,9933301,0,20,NDTV,news,ndtv,India,en
,290,212658,4,84147,rt,,rt_rtgirl,India,en
"Web Apps & Niche web services development. I tweet about technology, internet, programming, fun & more!",38305,120657,18,125400,CEO of Great Innovus,,dollars5,India,en
"Nuclear Friends Foundation (#NFF), a non-profit organization, is established with the objective of propagating true and #Positive #Facts about #Nuclear #Energy.",5736,102680,2666,473,Nuclear Friends Fnd,,nuclearfriends,India,en
Office of the Prime Minister of India,16157,19581340,0,404,PMO India,gov,PMOIndia,India ,en
"Married 36 fun filled years, two children, two grandsons. Love sharing the gift of life! Have donated 101 times at the Indiana Blood Center.",22,553264,10,600927,Mike Whitaker,celeb,MikeWhitaker,"Indiana, USA",en
Celebrating sciences. Greening the environment | INAICTA 2012: Creative & Innovative New Media | We Communicate Green | redaksi@hijauku.com,60632,232339,1001,1000,Hijauku.com,,Hijaukudotcom,Indonesia,en
Eternizando  memórias. Immortalizing memories. Be part of it ! Faça parte #Alzheimerebook  Os tweets não são assistência médica. The tweets are not health care.,10118,193543,5717,53521,Alzheimerebook,foreign,Alzheimerebook,info@alzheimerebook.org,pt
"Entrepreneur, Advisor, Investor, Podcaster: https://t.co/BjBUF8sbyM, @GetSoundGuard + https://t.co/3ueXRTLkgr, @JoolMedia + https://t.co/pnEhmR90nP, @StartupSense <ed><U+00A0><U+00BD><ed><U+00B1><U+00BB>jonahlupton <ed><U+00A0><U+00BD><ed><U+00B3><U+00B7> jonahlupton",63991,1111117,44988,1221811,Jonah Lupton <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>,celeb,JonahLupton,info@jonahlupton.com,en
Fashion PR. TV Personality. CEO @abisfitness. Snapchat abigail_clarkex Management: @jaw_mgmt. Press: dermot@candidpublicity.com,18817,144857,7165,1018,abigail clarke,,abigail_clarke,Insta | @Abigail_Clarke,en
<ed><U+00A0><U+00BC><ed><U+00BE><U+00A5> TOWIE <ed><U+00A0><U+00BD><ed><U+00B3><U+00A7> Agent: ellen@mokkingbird.com instagram @georgiakousoulou. <ed><U+00A0><U+00BD><ed><U+00B1><U+00BB>snap: gkatiek <ed><U+00A0><U+00BD><ed><U+00B1><U+0097><ed><U+00A0><U+00BD><ed><U+00B1><U+0099> Clothing - @myuniquelook,30174,407089,6610,1722,Georgia Kousoulou,celeb,MissGeorgiakx,instagram - @georgiakousoulou,en
Proud Husband & Dad. Used to play rugby (ish). Now cycle (ish) but far too slowly...... “To live is the rarest thing in the world. Most people exist” -,36697,163111,148,630,Will Carling,,willcarling,Instagram @wdccarling,en
"Design Psychology Author REALTOR® Speaker. Love sacred spaces, writing, traveling & driving fast cars #JOYexpress https://t.co/qTVAAN568z CEO<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>",107230,203777,7041,165049,Jeanette JOY Fisher,,JeanetteJoy,"Instagram, Los Angeles, Austin",en
Help needy pets and wildlife <U+01B8><U+0335><U+0321><U+04DC><U+0335>¯<U+0328><U+01B7> #animals #wildlife #conservation #environment #nature #pets,3698,147075,441,146704,Help the Animals,,HelpAnimals,International,en
"Daily low carbon economy news, facts, live events & #ClimateTV leader interviews. Follow #CWNYC #RE100 #EP100 #Under2Coalition and #StatesandRegions",42812,122018,2573,2916,The Climate Group,,ClimateGroup,International,en
Fighting corruption with the world's best cross-border journalism by 190+ reporters in 65 countries. #PanamaPapers #SwissLeaks #LuxLeaks #OffshoreLeaks,12422,113666,705,810,ICIJ,,ICIJorg,International,en
Carbon News...The Carbon Economy Experts. Our new website launching soon. http://t.co/oIRS1kBJmY,1872,106660,0,18602,CARBON NEWS,,co2news,International ,en
Internet Marketing Consultant & Social Media Geek. Helping business grow organically !,772,197620,133,179348,Virendra Verma,,VirendraSMO,Internet,en
"Easily, Effortlessly Make 3% To 9% Or Higher ROI (Cash Basis) Every Few Days, Utilizing StockSafari's Price Forecasts (and before using any options, futures).",7786,100822,19,43303,StockSafari Freeware,,forecastall,Internet Space,en
Views and opinions expressed here are the BBC's. Not my own. I live in  New York.,23765,1485383,116,1186,richard bacon,celeb,richardpbacon,"iPhone: 0.000000,0.000000",en
"Web Designer, Web Development and Bespoke Software Developer specialising in Open Source technologies such as Java, PHP and jQuery. I love technology :-)",9833,106842,141,2808,Ashish Kulkarni,,ashishkulkarni,"iPhone: 56.107868,-3.930868",en
"Trying 2 tweet the best of Iraq, Iraqis & their history and culture. To promote mutual influences between Mesopotamia & the whole world; in the past & present.",52398,1007035,1050,981966,#IRAQesque,bis,Iraqesque,Iraq,en
"Digital Marketing Strategist, speaker & Sunday Independent columnist. Love to connect! https://t.co/DcgDD5et41",76535,137482,9728,606,Paul O'Mahony,,PaulOMahony,Ireland,en
Leading Content Marketing Agency for the Global Tech and Business Industry.,65088,138500,1805,121424,markITwrite Tech,,markITwrite,Ireland & England,en
"Sosyal Medya Uzmani & Dijital Stratejist, Yazar; @Turkcell, @HWPTR Dergisi, @usmedorgtr #USMED Ege Bölge Baskani, #BEÜ |<U+261E>REKLAM & ILETISM<U+21AA>info@alaattincagil.com",2943,3013826,32535,1105393,Alaattin Çagil <ed><U+00A0><U+00BC><ed><U+00B7><U+00B9><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7>,foreign,AlaattinCAGIL,"Istanbul, Izmir",tr
Snapchat: efekuruscu reklam:efekuruscu@gmail.com,17365,690567,14304,686159,Efe Kurusçu,foreign,efekuruscu,"Istanbul, Türkiye",tr
Recognised as No 1 Global Teen influencer... Part of @ITKIDSOFFICIAL Meet the Vloggers Kids Blog/Press Enquiries: hello@prbox.co.uk,3065,431004,24180,106218,Amazing Arabella,celeb,Arabelladaho,IT KIDS HQ <ed><U+00A0><U+00BC><ed><U+00BD><U+0095><ed><U+00A0><U+00BC><ed><U+00BC><U+0088><U+2B50><U+FE0F><U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BC><ed><U+00BE><U+0082><ed><U+00A0><U+00BE><ed><U+00B6><U+008B>,en
"The greatest technological experience of the world in a festival of innovation, creativity, science, entrepreneurship & entertainment.",14990,206380,2966,3790,Campus Party,foreign,campusparty,Italia,es
"DJ & Producer.
Don't keep calm and twerk hard.
https://t.co/MhR2vAC3TJ",40114,273455,915,29157,Alex Corsi,foreign,djalexcorsi,Italia / España,it
"KBO. if it's good enough for Churchill, it's good enough for me. For work enquiries, please contact Michael Cohen at MPC Entertainment: https://t.co/kyjZgeCZ2D",18920,142876,494,719,Mark Pougatch,,markpougatch,Itinerant,en
Weather presenter on ITV News. Previously Sky News & forecaster at the Press Association & Meteogroup: Europe's leading private weather company,28054,150156,5616,627,Lucy Verasamy,,LucyWeather,ITV News,en
The official Twitter home of ITV. Please note that tweets to @ITV may be displayed on online and on air by ITV. Full interactive terms at https://t.co/baHiOti6xN,51085,2078843,8868,5271,ITV,bis,ITV,ITV Towers,en
"Facebook Likes, Twitter-Instagram Followers & Youtube Views/likes in cheapest price. WhatsApp/Call: +91 9983118888 & Skype: ddsaharan https://t.co/PzRNwoWo5m",737,135322,716,61111,Dinesh Kumar Saran,,ddsaharan,"Jaipur, India",en
"BBC journalist, based in Johannesburg. Previously in Bangkok, Singapore, Nairobi, Moscow and Tbilisi. Author of The Mayor of Mogadishu.",8231,169987,196,1682,andrew harding,,AndrewWJHarding,Johannesburg,en
"IG<ed><U+00A0><U+00BD><ed><U+00B3><U+00B7>: ulrichjvv. Humanitarian, Anthropologist, Social & Eco Activist. Radio | TV | Print | Web | Digital Media. One human race. One love. One with nature.",9630,427916,220676,260375,Ulrich J van Vuuren,celeb,UlrichJvV,"Johannesburg, South Africa",en
"Africa's largest Federation Official tweets,the home of the toiling classes across the world,with more than 2million membership...Amandla!",168161,102040,25773,68527,@COSATU Today,,_cosatu,"Johannesburg, South Africa",en
"Governor of Kaduna State. 
Member of The All Progressives Congress Board of Trustees. 
Tweets are my views not those of the APC.",40642,1154203,419,768,Nasir Ahmad El-Rufai,celeb,elrufai,"Kaduna, Nigeria",en
#B2B marketer. Helping companies navigate sales and marketing channels. #KCproud Chiefs and Royals fan. #helpNOTsell #buildingproducts,31137,125486,607,75976,Elton Mayfield,,EltonMayfield,Kansas City,en
"I create and provide free, high-res inspirational wallpapers focusing on a large and growing variety of topics on success, motivation, and self-improvement.",2457,224379,154,235857,Success Wallpapers,,successwalls,"Kansas City, KS",en
<ed><U+00A0><U+00BD><ed><U+00B1><U+0094> Entertainment Executives. Celebrity Marketing Specialists. | <ed><U+00A0><U+00BD><ed><U+00B3><U+00B7> IG: STANDISH913 <ed><U+00A0><U+00BD><ed><U+00B4><U+008C>| 8 Instagram Marketing Success Secrets Revealed EBOOK LINK BELOW! <ed><U+00A0><U+00BD><ed><U+00B1><U+0087>,44206,102950,10708,10864,Standish Promotions,,Standish913,"Kansas City, KS",en
Mobile Apps. Part of @PinsightMedia.,6333,5900089,48,44888,OneLouder Apps,bis,OneLouderApps,"Kansas City, MO",en
"CEO of 9.0 Magazine, 9.0 The Underground, #Bogardthat, No Limit East, A/V Producer, Digital Dist. Co, Believer #CowboyNation #Lakers # 8186499660 #Twittergoons",1396238,1089878,100,968856,Producer 9-0,celeb,nine_oh,"Kansas City, MO",en
"Small business marketing consultant, speaker and author of Duct Tape Marketing, Duct Tape Selling, The Referral Engine and The Commitment Engine.",23463,116297,2800,12764,John Jantsch,,ducttape,"Kansas City, MO",en
"Welcome to the Official International Account of #EXPO2017 Astana ""Future Energy"". «Solutions for Tackling Humankind’s Greatest Challenge» #EXPO2017Astana",2061,123482,1397,1288,EXPO 2017 Astana Int,,Expo2017_Int,Kazakhstan,en
MP for Westmorland and Lonsdale & Former Leader of the @LibDems,70971,276780,9753,12928,Tim Farron,,timfarron,Kendal,en
#IOTNQD is a 10 year passion project from #IndieFilmmaker AD LANE @crazyDlane Currently on indiegogo: https://t.co/QkTKx9LMhZ #supportindiefilm #NOCGI #HORROR,149677,186269,5765,196020,#IOTNQD,,IOTNQDfilm,Kent,en
"You cannot report crime here - call 101/999. This is our only county feed, all others are not Kent Police. Follow our local accounts - https://t.co/Vk0hMMuwEL",21206,145673,1182,450,Kent Police (UK),,kent_police,"Kent, South east England, UK",en
chubby mzungu,31668,199244,416,718,Giles Coren,,gilescoren,"Kentish Town, obviously.",en
Follow Support Libraries! for our latest product offerings. Always great prices!,17426,121724,20,9176,Support Libraries,,SupportLib,Kentucky,en
"Official archive of the UK government. Discover our online collections, research guides and educational resources spanning 1,000 years of history",9317,112110,5483,455,National Archives UK,,UkNatArchives,"Kew, London",en
"Baroness Brady of Knightsbridge CBE Business Woman of the Year Government Business Ambassador, Best Selling Author, The Apprentice Inspirational Global Speaker",3521,231576,353,242,Lady Brady,,karren_brady,"Knightsbridge, London",en
Digital Content Creator #HGTV & #DIYNetwork's House Counselor #dailycoffeecrew @knowhowstudios -somewhat irreverent. :insta @laurie_march https://t.co/mvrPE6xkmy,36800,496233,44357,32903,Laurie March,celeb,Laurie_March,LA Baby...,en
The official twitter feed for Lancashire Police. Not monitored 24/7. To report crime call 999 in an emergency or go online at https://t.co/XpDpTGcmfy,22540,158258,1916,465,LancsPolice,,LancsPolice,"Lancashire, England",en
"On 95.5, 103.9, 104.5FM, DAB & Freeview channel 720. Sport: @BBCLancsSport. Live updates: https://t.co/J9CihA2k4x",84096,118007,1837,1209,BBC Lancashire,,BBCLancashire,"Lancashire, UK",en
Writer - Entrepreneur - Investor - Lover of Life & Wife - Unboxed. Unleashed and unabashedly patriotic. Nothing implied by Tweets RTs or FAVs,11703,115413,7478,105937,Hal Marston  :^\,,BirdBrayn,Land of Ahhhs ,en
Proud Supporters of our 45th President @realDonaldTrump Creator of The Trump Card Builders of The @BorderWallUSA Wall Defenders of Freedom #Support45,17886,303955,34463,198270,Support 45,,WeSupport45,"Las Vegas, NV",en
My passion is training dogs. I am the President of Sit Means Sit Corporate (Las Vegas) and Owner with my business partner.,15697,125419,0,151049,Alfredo Rivera,,AlfredoSMS,"Las Vegas, NV",en
https://t.co/rhA6yLPe4M,284,117534,94,65880,Louis K. Burrell,,KingOfGanoderma,"Las Vegas, NV",en
"ebbhuggins@kw.com
#CommercialRealEstate, #CRE, #RealEstate, #Land, #Rentalproperties, #LandForSale, #HousesForSale",14830,110958,7549,65399,Michael E.B. Huggins,,lvre4sale,"Las Vegas, NV",en
"Peak Performance Trainer, #Podcast Host, Author, Speaker, Business Strategist, #Tech Geek, #blockchain, @TheCavaliers Alumni, & Die-Hard @Cubs Fan",263716,447175,1297,18272,Richard Krawczyk,celeb,TheMrBlueprint,"Las Vegas, NV USA",en
Keep updated with all the latest news from the IOC.,3490,112188,182,543,IOC MEDIA,,iocmedia,Lausanne. Switzerland,en
Question of Sport geek with a motto of HEALTH by far outweighs WEALTH! Please email info@mattdawson.online for any enquiries.....,15719,260203,2097,500,Matt Dawson,,matt9dawson,Leafy West London,en
All the news and sport for Leeds and beyond fast and first.,93511,189789,1359,4680,YorkshireEveningPost,,LeedsNews,Leeds,en
"#135K #GameDev #IndieDev #Charity #Music #Science #Robot builder. @jack at twitter hired @femfreq!
I dont h8 wt I dont bleev. 3rd Wave #feminism is #Bullshit!",137120,116812,8333,142640,David G griffiths,,Bensonix,Leeds,en
"Official Twitter feed for BBC Radio Leeds, your BBC in West Yorkshire. LISTEN: 92.4FM, 103.9 FM, 774AM, DAB & Freeview with local news, sport, travel & weather.",82061,122265,4761,1321,BBC Radio Leeds,,BBCLeeds,"Leeds, UK",en
Proud father! Player at @LCFC. Founder of @FoxSoccerAcadNY. A @pumafootball athlete. Be The Attitude @NoFuchsGivenLtd! #NoFuchsGiven,973,145501,1857,91022,Christian Fuchs,,FuchsOfficial,"Leicester, England",en
Labour Mayor of Greater Manchester,11028,174358,130,1561,Andy Burnham,,AndyBurnhamGM,"Leigh, Greater Manchester",en
